symbol,timestamp,action,prob,price,pred_direction,actual_direction,correct,position_id,event_type,direction,entry_price,close_price,position_open_time,position_close_time,position_duration_hours,allocated_capital,pnl_pct,pnl_amount,fee_paid,open_positions_count,available_capital,total_equity,peak_equity,drawdown_pct,cumulative_pnl,cumulative_closed_trades,portfolio_return_pct
BTC/USDT,2026-01-19 19:00:00,HOLD,0.5164459943771362,0.002212,1.0,0.0,False,0,HOLD,,0.002212,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0
BTC/USDT,2026-01-19 20:00:00,HOLD,0.4597780108451843,0.001763,0.0,0.0,True,0,HOLD,,0.001763,,,,,0.0,0.0,0.0,0.0,0,1000.0,1000.0,1000.0,0.0,0.0,0,0.0
BTC/USDT,2026-01-19 21:00:00,SHORT,0.43986400961875916,0.001425,0.0,0.0,True,1,OPEN,SHORT,0.001425,,2026-01-19 21:00:00,,,250.0,0.0,0.0,0.0,1,750.0,999.75,1000.0,-0.02,0.0,0,-0.02
BTC/USDT,2026-01-19 22:00:00,HOLD,0.5276340246200562,0.001327,1.0,1.0,True,0,HOLD,,0.001327,,,,,0.0,0.0,0.0,0.0,1,750.0,1016.78,1016.78,0.0,0.0,0,1.68
BTC/USDT,2026-01-19 23:00:00,HOLD,0.5019099712371826,0.002011,1.0,0.0,False,0,HOLD,,0.002011,,,,,0.0,0.0,0.0,0.0,1,750.0,896.85,1016.78,-11.8,0.0,0,-10.31
BTC/USDT,2026-01-20 00:00:00,HOLD,0.4690310060977936,0.001587,0.0,1.0,False,0,HOLD,,0.001587,,,,,0.0,0.0,0.0,0.0,1,750.0,971.18,1016.78,-4.48,0.0,0,-2.88
BTC/USDT,2026-01-20 01:00:00,SHORT,0.4325050115585327,0.003137,0.0,1.0,False,2,OPEN,SHORT,0.003137,,2026-01-20 01:00:00,,,187.5,0.0,0.0,0.0,2,562.5,699.24,1016.78,-31.23,0.0,0,-30.08
BTC/USDT,2026-01-20 02:00:00,HOLD,0.4605810046195984,0.003667,0.0,0.0,True,0,HOLD,,0.003667,,,,,0.0,0.0,0.0,0.0,2,562.5,574.68,1016.78,-43.48,0.0,0,-42.53
BTC/USDT,2026-01-20 03:00:00,HOLD,0.45517200231552124,0.003666,0.0,0.0,True,0,HOLD,,0.003666,,,,,0.0,0.0,0.0,0.0,2,562.5,575.0,1016.78,-43.45,0.0,0,-42.5
BTC/USDT,2026-01-20 04:00:00,HOLD,0.4753180146217346,0.003373,0.0,1.0,False,0,HOLD,,0.003373,,,,,0.0,0.0,0.0,0.0,2,562.5,643.93,1016.78,-36.67,0.0,0,-35.61
