symbol,timestamp,trade_number,action,entry_price,exit_price,price_change_pct,prob,pred_direction,actual_direction,correct,position_size_pct,trade_capital,pnl_pct,pnl_amount,fee_paid,capital_after,peak_capital,drawdown_pct,cumulative_pnl,cumulative_trades,cumulative_win_rate_pct,portfolio_return_pct
BTC/USDT,2026-01-19 19:00:00,0,HOLD,0.002212,0.001763,-20.2836,0.516446,1,0,False,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0,0.0,0.0
BTC/USDT,2026-01-19 20:00:00,0,HOLD,0.001763,0.001425,-19.2192,0.459778,0,0,True,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,0,0.0,0.0
BTC/USDT,2026-01-19 21:00:00,1,SHORT,0.001425,0.001327,-6.8192,0.439864,0,0,True,25.0,250.0,6.7192,16.8,0.25,1016.8,1016.8,0.0,16.8,1,100.0,1.68
BTC/USDT,2026-01-19 22:00:00,0,HOLD,0.001327,0.002011,51.5343,0.527634,1,1,True,0.0,0.0,0.0,0.0,0.0,1016.8,1016.8,0.0,16.8,1,100.0,1.68
BTC/USDT,2026-01-19 23:00:00,0,HOLD,0.002011,0.001587,-21.0778,0.50191,1,0,False,0.0,0.0,0.0,0.0,0.0,1016.8,1016.8,0.0,16.8,1,100.0,1.68
BTC/USDT,2026-01-20 00:00:00,0,HOLD,0.001587,0.003137,97.6415,0.469031,0,1,False,0.0,0.0,0.0,0.0,0.0,1016.8,1016.8,0.0,16.8,1,100.0,1.68
BTC/USDT,2026-01-20 01:00:00,2,SHORT,0.003137,0.003667,16.8917,0.432505,0,1,False,25.0,254.2,-16.9917,-43.19,0.2542,973.61,1016.8,-4.25,-26.39,2,50.0,-2.64
BTC/USDT,2026-01-20 02:00:00,0,HOLD,0.003667,0.003666,-0.0373,0.460581,0,0,True,0.0,0.0,0.0,0.0,0.0,973.61,1016.8,-4.25,-26.39,2,50.0,-2.64
BTC/USDT,2026-01-20 03:00:00,0,HOLD,0.003666,0.003373,-8.0001,0.455172,0,0,True,0.0,0.0,0.0,0.0,0.0,973.61,1016.8,-4.25,-26.39,2,50.0,-2.64
BTC/USDT,2026-01-20 04:00:00,0,HOLD,0.003373,0.007324,117.1406,0.475318,0,1,False,0.0,0.0,0.0,0.0,0.0,973.61,1016.8,-4.25,-26.39,2,50.0,-2.64
BTC/USDT,2026-01-20 05:00:00,3,SHORT,0.007324,0.005185,-29.2064,0.420823,0,0,True,25.0,243.4,29.1064,70.85,0.2434,1044.45,1044.45,0.0,44.45,3,66.67,4.45
BTC/USDT,2026-01-20 06:00:00,4,SHORT,0.005185,0.008938,72.3825,0.4133,0,1,False,25.0,261.11,-72.4825,-189.26,0.2611,855.19,1044.45,-18.12,-144.81,4,50.0,-14.48
BTC/USDT,2026-01-20 07:00:00,0,HOLD,0.008938,0.008531,-4.5443,0.48276,0,0,True,0.0,0.0,0.0,0.0,0.0,855.19,1044.45,-18.12,-144.81,4,50.0,-14.48
BTC/USDT,2026-01-20 08:00:00,0,HOLD,0.008531,0.006531,-23.4492,0.527486,1,0,False,0.0,0.0,0.0,0.0,0.0,855.19,1044.45,-18.12,-144.81,4,50.0,-14.48
BTC/USDT,2026-01-20 09:00:00,5,SHORT,0.006531,0.005763,-11.7513,0.423733,0,0,True,25.0,213.8,11.6513,24.91,0.2138,880.1,1044.45,-15.74,-119.9,5,60.0,-11.99
BTC/USDT,2026-01-20 10:00:00,0,HOLD,0.005763,0.006996,21.3821,0.484891,0,1,False,0.0,0.0,0.0,0.0,0.0,880.1,1044.45,-15.74,-119.9,5,60.0,-11.99
BTC/USDT,2026-01-20 11:00:00,0,HOLD,0.006996,0.00651,-6.9468,0.474121,0,0,True,0.0,0.0,0.0,0.0,0.0,880.1,1044.45,-15.74,-119.9,5,60.0,-11.99
BTC/USDT,2026-01-20 12:00:00,0,HOLD,0.00651,0.00821,26.1244,0.506821,1,1,True,0.0,0.0,0.0,0.0,0.0,880.1,1044.45,-15.74,-119.9,5,60.0,-11.99
BTC/USDT,2026-01-20 13:00:00,6,LONG,0.00821,0.009848,19.9413,0.571282,1,1,True,25.0,220.03,19.8413,43.66,0.22,923.76,1044.45,-11.56,-76.24,6,66.67,-7.62
BTC/USDT,2026-01-20 14:00:00,0,HOLD,0.009848,0.009254,-6.0332,0.5644,1,0,False,0.0,0.0,0.0,0.0,0.0,923.76,1044.45,-11.56,-76.24,6,66.67,-7.62
BTC/USDT,2026-01-20 15:00:00,0,HOLD,0.009254,0.011337,22.5138,0.48737,0,1,False,0.0,0.0,0.0,0.0,0.0,923.76,1044.45,-11.56,-76.24,6,66.67,-7.62
BTC/USDT,2026-01-20 16:00:00,0,HOLD,0.011337,0.007412,-34.623,0.457991,0,0,True,0.0,0.0,0.0,0.0,0.0,923.76,1044.45,-11.56,-76.24,6,66.67,-7.62
BTC/USDT,2026-01-20 17:00:00,0,HOLD,0.007412,0.007235,-2.3797,0.452625,0,0,True,0.0,0.0,0.0,0.0,0.0,923.76,1044.45,-11.56,-76.24,6,66.67,-7.62
BTC/USDT,2026-01-20 18:00:00,7,SHORT,0.007235,0.011068,52.9677,0.363746,0,1,False,25.0,230.94,-53.0677,-122.55,0.2309,801.2,1044.45,-23.29,-198.8,7,57.14,-19.88
BTC/USDT,2026-01-20 19:00:00,8,SHORT,0.011068,0.016313,47.3954,0.40939,0,1,False,25.0,200.3,-47.4954,-95.13,0.2003,706.07,1044.45,-32.4,-293.93,8,50.0,-29.39
BTC/USDT,2026-01-20 20:00:00,9,SHORT,0.016313,0.016682,2.2575,0.319774,0,1,False,25.0,176.52,-2.3575,-4.16,0.1765,701.91,1044.45,-32.8,-298.09,9,44.44,-29.81
BTC/USDT,2026-01-20 21:00:00,10,SHORT,0.016682,0.016738,0.336,0.402095,0,1,False,25.0,175.48,-0.436,-0.77,0.1755,701.14,1044.45,-32.87,-298.86,10,40.0,-29.89
BTC/USDT,2026-01-20 22:00:00,11,SHORT,0.016738,0.011632,-30.501,0.427327,0,0,True,25.0,175.29,30.401,53.29,0.1753,754.43,1044.45,-27.77,-245.57,11,45.45,-24.56
BTC/USDT,2026-01-20 23:00:00,12,SHORT,0.011632,0.010681,-8.1802,0.337519,0,0,True,25.0,188.61,8.0802,15.24,0.1886,769.67,1044.45,-26.31,-230.33,12,50.0,-23.03
BTC/USDT,2026-01-21 00:00:00,13,SHORT,0.010681,0.01204,12.7212,0.40328,0,1,False,25.0,192.42,-12.8212,-24.67,0.1924,745.0,1044.45,-28.67,-255.0,13,46.15,-25.5
BTC/USDT,2026-01-21 01:00:00,14,SHORT,0.01204,0.013592,12.8911,0.43392,0,1,False,25.0,186.25,-12.9911,-24.2,0.1863,720.8,1044.45,-30.99,-279.2,14,42.86,-27.92
BTC/USDT,2026-01-21 02:00:00,15,SHORT,0.013592,0.006639,-51.1523,0.370951,0,0,True,25.0,180.2,51.0523,92.0,0.1802,812.8,1044.45,-22.18,-187.2,15,46.67,-18.72
BTC/USDT,2026-01-21 03:00:00,0,HOLD,0.006639,0.00867,30.5833,0.462638,0,1,False,0.0,0.0,0.0,0.0,0.0,812.8,1044.45,-22.18,-187.2,15,46.67,-18.72
BTC/USDT,2026-01-21 04:00:00,0,HOLD,0.00867,0.008937,3.0794,0.521881,1,1,True,0.0,0.0,0.0,0.0,0.0,812.8,1044.45,-22.18,-187.2,15,46.67,-18.72
BTC/USDT,2026-01-21 05:00:00,0,HOLD,0.008937,0.007181,-19.6474,0.448474,0,0,True,0.0,0.0,0.0,0.0,0.0,812.8,1044.45,-22.18,-187.2,15,46.67,-18.72
BTC/USDT,2026-01-21 06:00:00,0,HOLD,0.007181,0.005026,-30.0131,0.501094,1,0,False,0.0,0.0,0.0,0.0,0.0,812.8,1044.45,-22.18,-187.2,15,46.67,-18.72
BTC/USDT,2026-01-21 07:00:00,0,HOLD,0.005026,0.004905,-2.4096,0.539096,1,0,False,0.0,0.0,0.0,0.0,0.0,812.8,1044.45,-22.18,-187.2,15,46.67,-18.72
BTC/USDT,2026-01-21 08:00:00,0,HOLD,0.004905,0.007163,46.041,0.489036,0,1,False,0.0,0.0,0.0,0.0,0.0,812.8,1044.45,-22.18,-187.2,15,46.67,-18.72
BTC/USDT,2026-01-21 09:00:00,0,HOLD,0.007163,0.005609,-21.692,0.492013,0,0,True,0.0,0.0,0.0,0.0,0.0,812.8,1044.45,-22.18,-187.2,15,46.67,-18.72
BTC/USDT,2026-01-21 10:00:00,0,HOLD,0.005609,0.006439,14.7901,0.487853,0,1,False,0.0,0.0,0.0,0.0,0.0,812.8,1044.45,-22.18,-187.2,15,46.67,-18.72
BTC/USDT,2026-01-21 11:00:00,0,HOLD,0.006439,0.003577,-44.4418,0.470073,0,0,True,0.0,0.0,0.0,0.0,0.0,812.8,1044.45,-22.18,-187.2,15,46.67,-18.72
BTC/USDT,2026-01-21 12:00:00,16,LONG,0.003577,0.002416,-32.4646,0.59854,1,0,False,25.0,203.2,-32.5646,-66.17,0.2032,746.63,1044.45,-28.51,-253.37,16,43.75,-25.34
BTC/USDT,2026-01-21 13:00:00,0,HOLD,0.002416,0.002541,5.1632,0.501366,1,1,True,0.0,0.0,0.0,0.0,0.0,746.63,1044.45,-28.51,-253.37,16,43.75,-25.34
BTC/USDT,2026-01-21 14:00:00,0,HOLD,0.002541,0.002076,-18.2769,0.532171,1,0,False,0.0,0.0,0.0,0.0,0.0,746.63,1044.45,-28.51,-253.37,16,43.75,-25.34
BTC/USDT,2026-01-21 15:00:00,0,HOLD,0.002076,0.001472,-29.0892,0.54225,1,0,False,0.0,0.0,0.0,0.0,0.0,746.63,1044.45,-28.51,-253.37,16,43.75,-25.34
